epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.04865,2.02144,4.84301,0.8921,0.59062,0.44284,0.53979,0.12681,2.72292,2.78226,0.94668,0.092008,8e-06,8e-06
2,7.62731,1.63394,1.217,0.82666,0.19375,0.2379,0.10415,0.01819,3.74502,2.66107,1.23097,0.083017,1.69832e-05,1.69832e-05
3,11.1148,1.47934,0.7891,0.81954,0.22762,0.21396,0.15658,0.03296,3.44377,2.14121,1.13615,0.0740259,2.59485e-05,2.59485e-05
4,14.5283,1.29821,0.66099,0.80356,0.3982,0.34192,0.34045,0.06348,3.22388,1.99312,1.04054,0.0650349,3.48961e-05,3.48961e-05
5,17.9694,1.21675,0.59775,0.81205,0.84438,0.85499,0.86515,0.28669,2.13579,0.93669,0.87318,0.0560438,4.38258e-05,4.38258e-05
6,21.5301,1.15863,0.56761,0.80134,0.89928,0.91951,0.92507,0.38994,1.8425,0.71676,0.84858,0.0470527,5.27377e-05,5.27377e-05
7,25.1395,1.11558,0.52839,0.79911,0.94448,0.93924,0.96819,0.46252,1.63105,0.64654,0.83215,0.0380616,6.16317e-05,6.16317e-05
8,28.6802,1.1511,0.53331,0.78326,0.94857,0.94976,0.9715,0.4324,1.70153,0.64262,0.82956,0.0290705,7.0508e-05,7.0508e-05
9,32.2542,1.0723,0.51242,0.79477,0.95477,0.96704,0.98338,0.58503,1.27642,0.5288,0.80598,0.0200794,7.93664e-05,7.93664e-05
10,35.8995,1.07656,0.51969,0.79766,0.96891,0.96301,0.98626,0.59543,1.25514,0.53225,0.80968,0.0110882,8.8207e-05,8.8207e-05
11,39.4135,1.02733,0.49642,0.78595,0.96139,0.97434,0.98752,0.69861,0.99167,0.45856,0.79178,0.00209703,9.70298e-05,9.70298e-05
12,42.9988,0.98278,0.47363,0.78646,0.97218,0.97182,0.99023,0.70357,0.9865,0.47376,0.79278,9.8911e-05,9.8911e-05,9.8911e-05
13,46.5675,0.96247,0.45849,0.7884,0.97548,0.96498,0.98989,0.6686,1.03416,0.44996,0.7922,9.8812e-05,9.8812e-05,9.8812e-05
14,50.0739,0.97151,0.45773,0.78692,0.97921,0.97027,0.99152,0.6938,1.05218,0.46983,0.80168,9.8713e-05,9.8713e-05,9.8713e-05
15,53.7166,0.97351,0.46284,0.7845,0.98444,0.97737,0.99253,0.70766,0.99227,0.45962,0.79423,9.8614e-05,9.8614e-05,9.8614e-05
16,57.3459,1.01147,0.45787,0.77955,0.98336,0.9794,0.9926,0.76137,0.84729,0.40822,0.78521,9.8515e-05,9.8515e-05,9.8515e-05
